

Dalyvavo balsavime 39
Už 17 Prieš 7 Susilaikė 14 Nebalsavo 1
Nepritarta

Už
Kasparas Adomaitis
Danutė Bekintienė
Valdas Benkunskas
Adomas Bužinskas
Mark Harold
Darius Kuolys
Paulė Kuzmickienė
Kęstutis Nėnius
Violeta Podolskaitė
Remigijus Šimašius
Aldona Šventickienė
Gediminas Švilpa
Marius Skarupskas
Valerij Stankevič
Liutauras Stoškus
Vidas Urbonavičius
Artūras Zuokas

Prieš
Algis Čaplikas
Zbigniev Maciejevski
Rafael Muksinov
Gediminas Rudžionis
Gžegož Sakson
Edita Šiško
Edita Tamošiūnaitė

Susilaikė
Rita Balčiūnienė
Bronius Cicėnas
Vaidotas Ilgius
Vincas Jurgutis
Justina Kašėtaitė
Andrius Katinas
Vaidas Kukarėnas
Linas Kvedaravičius
Mindaugas Mačernis
Vidmantas Martikonis
Vytautas Mitalas
Romualda Poševeckaja
Šarūnas Skučas
Skirmantas Tumelis

Atidėta

Išbraukta
