

Dalyvavo balsavime 41
Už 23 Prieš 9 Susilaikė 7 Nebalsavo 2
Pritarta

Už
Danutė Bekintienė
Valdas Benkunskas
Adomas Bužinskas
Algis Čaplikas
Renata Cytacka
Aleksandr Fiodorov
Jaroslav Kaminski
Paulė Kuzmickienė
Artur Liudkovski
Zbigniev Maciejevski
Vidmantas Martikonis
Rafael Muksinov
Kęstutis Nėnius
Violeta Podolskaitė
Romualda Poševeckaja
Gžegož Sakson
Edita Šiško
Aldona Šventickienė
Gediminas Švilpa
Marius Skarupskas
Edita Tamošiūnaitė
Vidas Urbonavičius
Artūras Zuokas

Prieš
Rita Balčiūnienė
Bronius Cicėnas
Mark Harold
Vincas Jurgutis
Justina Kašėtaitė
Andrius Katinas
Vaidas Kukarėnas
Gediminas Rudžionis
Remigijus Šimašius

Susilaikė
Kasparas Adomaitis
Audronis Imbrasas
Auksė Kontrimienė
Mindaugas Mačernis
Vytautas Mitalas
Gintautas Paluckas
Valerij Stankevič

Atidėta

Išbraukta
