ID,SHOWS,AVILIO_ID,NR,MEETING_ID,GROUP_ID,DOC_ID,CREATOR_ID,EXPIRE_DATE,APROVED,NOW_ACTIVE,LATER_ACTIVE,NEXT_ACTIVE,NOW_VOTING,QUESTION_HASH,STATUS_DESC
21546,"Dėl Balsų skaičiavimo komisijos tvirtinimo",0abb2730fb1411e0b7d19bdc4c773549,1,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,87af24ec975b588d8620acc6d0ced38b,
21547,"Dėl 2011-10-12 posėdžio darbotvarkės projekto tvirtinimo",0aca4260fb1411e0b7d19bdc4c773549,2,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21548,"DĖL VILNIAUS MIESTO SAVIVALDYBĖS TARYBOS KONTROLĖS KOMITETO PIRMININKO PASKYRIMO",e38d6880effb11e0bbd8b08d009cc193,3,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,f0eface17021d5baedb429817ef57aad,
21549,"DĖL VILNIAUS MIESTO SAVIVALDYBĖJE TEIKIAMŲ (PRIIMAMŲ) TEISĖS AKTŲ PROJEKTŲ RENGIMO IR DERINIMO TAISYKLIŲ TVIRTINIMO",306f3690ee6411e0bbacb08d009cc193,4,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,4d7daf809d25bd9c651fe0d24380019c,
21550,"DĖL VILNIAUS MIESTO SAVIVALDYBĖS TARYBOS VISUOMENINIŲ KOMISIJŲ SUDARYMO",3750fe60ee8911e0bbb4b08d009cc193,5,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21551,"DĖL PAVEDIMO IŠIEŠKOTI ŽALĄ IŠ ŠARŪNO SKUČO",2604e660ef1211e0bbbdb08d009cc193,6,9864255,2,0,50,"2011-10-04 11:35:04",1,,0,0,,8a8cbc1b402d769c650d981b29c90140,
21552,"DĖL TARYBOS 2011-02-18 SPRENDIMO NR. 1-1994 „DĖL VILNIAUS MIESTO      SAVIVALDYBĖS 2011 METŲ BIUDŽETO TVIRTINIMO“ PAKEITIMO",dbf5e8d0f02411e0bbe2b08d009cc193,7,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21553,"DĖL UAB „UNIVERSALI  ARENA“ 2012 METŲ NEKILNOJAMOJO TURTO MOKESČIO MOKĖJIMO",cfb573a0ef1211e0bbbdb08d009cc193,8,9864255,2,0,50,"2011-10-04 11:35:04",1,,0,0,,8cff4c96213e22597e61d749c0e50825,
21554,"DĖL VIEŠOSIOS ĮSTAIGOS ,,VITO GERULAIČIO VARDO TENISO AKADEMIJA“  2011–2012 METŲ NEKILNOJAMOJO TURTO MOKESČIO",fd0d1e20ef1211e0bbbdb08d009cc193,9,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,496421b659a3f90739cd5bff80986f1a,
21555,"DĖL ONOS ČEPANONIENĖS 2009–2010 METŲ NEKILNOJAMOJO TURTO MOKESČIO MOKĖJIMO",f118a990ef1211e0bbbeb08d009cc193,10,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
