"ID";"SHOWS";"QUESTION_ID";"MEETING_ID";"VOTING_INFO";"VOTING_SHORT";"VOTE_DATE";"VOTE";"SYS_ID"
"1";"Už";"28143";"10504907";"R. Adomavičius";"R. Adomavičius";"2012-01-24 13:07:13";"Už";"1"
"2";"Už";"28143";"10504907";"R. Alekna";"R. Alekna";"2012-01-24 13:07:13";"Už";"1"
"3";"Už";"28143";"10504907";"V. Balakin";"V. Balakin";"2012-01-24 13:07:13";"Už";"1"
"4";"Už";"28143";"10504907";"Š. Birutis";"Š. Birutis";"2012-01-24 13:07:13";"Už";"1"
"5";"Už";"28143";"10504907";"B. Cicėnas";"B. Cicėnas";"2012-01-24 13:07:13";"Už";"1"
"6";"Už";"28143";"10504907";"B. Galinienė";"B. Galinienė";"2012-01-24 13:07:13";"Už";"1"
"7";"Už";"28143";"10504907";"J. Grigutienė";"J. Grigutienė";"2012-01-24 13:07:13";"Už";"1"
"8";"Už";"28143";"10504907";"A. Juocevičius";"A. Juocevičius";"2012-01-24 13:07:13";"Už";"1"
"9";"Už";"28143";"10504907";"I. Kačinskaitė";"I. Kačinskaitė";"2012-01-24 13:07:13";"Už";"1"
"10";"Už";"28143";"10504907";"V. Kliukienė";"V. Kliukienė";"2012-01-24 13:07:13";"Už";"1"
"11";"Už";"28143";"10504907";"V. Kravčionok";"V. Kravčionok";"2012-01-24 13:07:13";"Už";"1"
"12";"Už";"28143";"10504907";"P. Kuzmickienė";"P. Kuzmickienė";"2012-01-24 13:07:13";"Už";"1"
"13";"Už";"28143";"10504907";"J. Kvetkovskij";"J. Kvetkovskij";"2012-01-24 13:07:13";"Už";"1"
"14";"Už";"28143";"10504907";"T. Lavrynovič";"T. Lavrynovič";"2012-01-24 13:07:13";"Už";"1"
"15";"Už";"28143";"10504907";"I. Litvinovič";"I. Litvinovič";"2012-01-24 13:07:13";"Už";"1"
"16";"Už";"28143";"10504907";"A. Liudkovski";"A. Liudkovski";"2012-01-24 13:07:13";"Už";"1"
"17";"Už";"28143";"10504907";"Z. Maciejevski";"Z. Maciejevski";"2012-01-24 13:07:13";"Už";"1"
"18";"Už";"28143";"10504907";"D. Maskoliūnas";"D. Maskoliūnas";"2012-01-24 13:07:13";"Už";"1"
"19";"Už";"28143";"10504907";"V. Milėnas";"V. Milėnas";"2012-01-24 13:07:13";"Už";"1"
"20";"Už";"28143";"10504907";"K. Nėnius";"K. Nėnius";"2012-01-24 13:07:13";"Už";"1"
"21";"Už";"28143";"10504907";"V. Podolskaitė";"V. Podolskaitė";"2012-01-24 13:07:13";"Už";"1"
"22";"Už";"28143";"10504907";"G. Rudžionis";"G. Rudžionis";"2012-01-24 13:07:13";"Už";"1"
"23";"Už";"28143";"10504907";"G. Sakson";"G. Sakson";"2012-01-24 13:07:13";"Už";"1"
"24";"Už";"28143";"10504907";"G. Švilpa";"G. Švilpa";"2012-01-24 13:07:13";"Už";"1"
"25";"Už";"28143";"10504907";"E. Stanišauskas";"E. Stanišauskas";"2012-01-24 13:07:13";"Už";"1"
"26";"Už";"28143";"10504907";"A. Strelčiūnas";"A. Strelčiūnas";"2012-01-24 13:07:13";"Už";"1"
"27";"Už";"28143";"10504907";"P. Tamošauskas";"P. Tamošauskas";"2012-01-24 13:07:13";"Už";"1"
"28";"Už";"28143";"10504907";"E. Trusevič";"E. Trusevič";"2012-01-24 13:07:13";"Už";"1"
"29";"Už";"28143";"10504907";"K. Zulonas";"K. Zulonas";"2012-01-24 13:07:13";"Už";"1"
"30";"Už";"28143";"10504907";"A. Zuokas";"A. Zuokas";"2012-01-24 13:07:13";"Už";"1"
"31";"Prieš";"28143";"10504907";"R. Baškienė";"R. Baškienė";"2012-01-24 13:07:13";"Prieš";"3"
"32";"Prieš";"28143";"10504907";"V. Benkunskas";"V. Benkunskas";"2012-01-24 13:07:13";"Prieš";"3"
"33";"Prieš";"28143";"10504907";"S. Burbienė";"S. Burbienė";"2012-01-24 13:07:13";"Prieš";"3"
"34";"Prieš";"28143";"10504907";"N. Jagelavičienė";"N. Jagelavičienė";"2012-01-24 13:07:13";"Prieš";"3"
"35";"Prieš";"28143";"10504907";"J. Požela";"J. Požela";"2012-01-24 13:07:13";"Prieš";"3"
"36";"Prieš";"28143";"10504907";"V. Urbonavičius";"V. Urbonavičius";"2012-01-24 13:07:13";"Prieš";"3"
"37";"Prieš";"28143";"10504907";"S. Ursul";"S. Ursul";"2012-01-24 13:07:13";"Prieš";"3"
"38";"Susilaikė";"28143";"10504907";"O. Gorškova";"O. Gorškova";"2012-01-24 13:07:13";"Susilaikė";"2"
"39";"Susilaikė";"28143";"10504907";"J. Pinskus";"J. Pinskus";"2012-01-24 13:07:13";"Susilaikė";"2"
"40";"Susilaikė";"28143";"10504907";"N. Šliachtič";"N. Šliachtič";"2012-01-24 13:07:13";"Susilaikė";"2"
"41";"Už";"28144";"10504907";"Pirmininkas";"Pirmininkas";"2012-01-24 13:16:31";"Už";"1"
"42";"Prieš";"28145";"10504907";"Pirmininkas";"Pirmininkas";"2012-01-24 13:16:32";"Prieš";"3"
"43";"Už";"28148";"10504907";"R. Adomavičius";"R. Adomavičius";"2012-01-24 13:16:50";"Už";"1"
"44";"Už";"28148";"10504907";"R. Alekna";"R. Alekna";"2012-01-24 13:16:50";"Už";"1"
"45";"Už";"28148";"10504907";"V. Balakin";"V. Balakin";"2012-01-24 13:16:50";"Už";"1"
"46";"Už";"28148";"10504907";"R. Baškienė";"R. Baškienė";"2012-01-24 13:16:50";"Už";"1"
"47";"Už";"28148";"10504907";"S. Burbienė";"S. Burbienė";"2012-01-24 13:16:50";"Už";"1"
"48";"Už";"28148";"10504907";"B. Cicėnas";"B. Cicėnas";"2012-01-24 13:16:50";"Už";"1"
"49";"Už";"28148";"10504907";"J. Grigutienė";"J. Grigutienė";"2012-01-24 13:16:50";"Už";"1"
"50";"Už";"28148";"10504907";"N. Jagelavičienė";"N. Jagelavičienė";"2012-01-24 13:16:50";"Už";"1"
"51";"Už";"28148";"10504907";"A. Juocevičius";"A. Juocevičius";"2012-01-24 13:16:50";"Už";"1"
"52";"Už";"28148";"10504907";"J. Kaminski";"J. Kaminski";"2012-01-24 13:16:50";"Už";"1"
"53";"Už";"28148";"10504907";"V. Kravčionok";"V. Kravčionok";"2012-01-24 13:16:50";"Už";"1"
"54";"Už";"28148";"10504907";"P. Kuzmickienė";"P. Kuzmickienė";"2012-01-24 13:16:50";"Už";"1"
"55";"Už";"28148";"10504907";"J. Kvetkovskij";"J. Kvetkovskij";"2012-01-24 13:16:50";"Už";"1"
"56";"Už";"28148";"10504907";"T. Lavrynovič";"T. Lavrynovič";"2012-01-24 13:16:50";"Už";"1"
"57";"Už";"28148";"10504907";"A. Liudkovski";"A. Liudkovski";"2012-01-24 13:16:50";"Už";"1"
"58";"Už";"28148";"10504907";"K. Nėnius";"K. Nėnius";"2012-01-24 13:16:50";"Už";"1"
"59";"Už";"28148";"10504907";"J. Pinskus";"J. Pinskus";"2012-01-24 13:16:50";"Už";"1"
"60";"Už";"28148";"10504907";"J. Požela";"J. Požela";"2012-01-24 13:16:50";"Už";"1"
"61";"Už";"28148";"10504907";"N. Šliachtič";"N. Šliachtič";"2012-01-24 13:16:50";"Už";"1"
"62";"Už";"28148";"10504907";"G. Švilpa";"G. Švilpa";"2012-01-24 13:16:50";"Už";"1"
"63";"Už";"28148";"10504907";"E. Stanišauskas";"E. Stanišauskas";"2012-01-24 13:16:50";"Už";"1"
"64";"Už";"28148";"10504907";"A. Strelčiūnas";"A. Strelčiūnas";"2012-01-24 13:16:50";"Už";"1"
"65";"Už";"28148";"10504907";"P. Tamošauskas";"P. Tamošauskas";"2012-01-24 13:16:50";"Už";"1"
"66";"Už";"28148";"10504907";"V. Urbonavičius";"V. Urbonavičius";"2012-01-24 13:16:50";"Už";"1"
"67";"Už";"28148";"10504907";"A. Zaremba";"A. Zaremba";"2012-01-24 13:16:50";"Už";"1"
"68";"Už";"28148";"10504907";"A. Zuokas";"A. Zuokas";"2012-01-24 13:16:50";"Už";"1"
"69";"Prieš";"28148";"10504907";"Š. Birutis";"Š. Birutis";"2012-01-24 13:16:50";"Prieš";"3"
